content,keywords,rating,satisfaction,date,year,month,season,text_len
정말 최고네요 다 읽고나서 더 볼 수없다는게 아쉬울 정도로요 이 책 읽고나서 꿈꾸고나면 괜히 소중하게 느껴지더라구요,정말 최고 읽다 없다 아쉽다 정도 읽다 꿈꾸다 괜히 소중하다 느껴지다,5,Positive,2020-12-27,2020,12,Winter,64
새로운 취미의 첫 시작을 기분좋게 만들어주는 책인것같아요,새롭다 취미 시작 기분 좋다 만들다 같다,5,Positive,2020-12-27,2020,12,Winter,31
미소를 띄우며 읽게 되는 책 어른이 되어 꿈에 대해 다시 생각하게 해쥬는 책,미소 띄우다 읽다 되다 어른 되어다 대해 다시 생각 해쥬,5,Positive,2020-12-27,2020,12,Winter,42
글이 한번 시작하면 끝까지 잘 읽힌다 전체적 구성이 탄탄하다 꿈을 자주 꾸고 기억하는 사람들에겐 공감의 글이고 그렇지 않은 사람에겐 상상력을 자극하는 판타지이다,한번 시작 자다 읽히다 전체 구성 탄탄하다 자주 꾸다 기억 사람 공감 그렇다 않다 사람 상상력 자극 판타지,5,Positive,2020-12-27,2020,12,Winter,89
올해 최고의책 이라고 생각합니다 진짜최고,올해 최고 생각 진짜 최고,5,Positive,2020-12-26,2020,12,Winter,22
잘읽힙니다 심심할때 시간가는줄모르고 읽었네요,읽히다 심심하다 시간 가다 모르다 읽다,5,Positive,2020-12-26,2020,12,Winter,24
군대에서 재미없는 책만 보다가 인생 처음으로 소설책을 구입해서 봤는데 상상속에서 나올법한 이야기를 잘풀어 나가면서 꿈이 라는 주제가 큰 호기심을 만든거 같습니다,군대 재미없다 보다 인생 처음 소설 구입 보다 상상 나오다 이야기 풀다 나가다 주제가 크다 호기심 만들다 같다,5,Positive,2020-12-25,2020,12,Winter,89
서점에서 어쩌다 사서 읽게됐는데 정말 재밌었어요 요즘 판타지 드라마가 많이 나오는 추세인데 이 책을 원작으로 만든 드라마로 나오면 정말 잘어울릴거같은 내용이었어요 크리스마스에 잘어울리는 책이라 책선물할때도 부담없을책입니다,서점 어쩌다 사서 읽다 돼다 정말 재밌다 요즘 판타지 드라마 많이 나오다 추세 원작 만들다 드라마 나오다 정말 어울리다 같다 내용 이다 크리스마스 어울리다 선물 부담 없다 이다,5,Positive,2020-12-25,2020,12,Winter,123
어른들을 위한 동화 위로와 웃음과 눈물과 현실 그리고 꿈이 적절하게 섞인 이야기,어른 동화 위로 웃음 눈물 현실 적절하다 섞이다 이야기,5,Positive,2020-12-24,2020,12,Winter,44
선물을 받으신 분이 너무 좋아하네요,선물 받다 너무 좋아하다,5,Positive,2020-12-24,2020,12,Winter,19
아주 좋은책이네요 힘든시기 큰 위로가 되었습니다 모두에게 추천합니다,아주 좋다 힘드다 크다 위로 되어다 모두 추천,5,Positive,2020-12-24,2020,12,Winter,37
소설의 내용이 부러울 만큼 재밌습니다 잠과 꿈에 대해 다시 생각해보게 됩니다 방금 다 읽었는데 또 바로 읽게 만드는 책입니다,소설 내용 부르다 만큼 재밌다 대해 다시 생각 해보다 되다 방금 읽다 바로 읽다 만들다 이다,5,Positive,2020-12-23,2020,12,Winter,69
한국식 뉴환타지소설인데 거부감이 전혀없이 술술읽히면서 잊었던꿈에 대한 새로운생각을줍니다,한국 환타지 소설 거부 전혀 없이 술술 읽히다 잊다 대한 새롭다 생각 줍다,5,Positive,2020-12-20,2020,12,Winter,48
초4 아이에게 선물했어요 작가의말만 읽었는데도 너무 설렌다며 죽죽 읽기 시작하더라고요 끝나가는게 아쉽다고 아껴읽겠다고 하더니 결국은 못 아끼고 다 읽어버렸다네요,아이 선물 작가 읽다 너무 설레다 죽죽 읽다 시작 끝나다 아쉽다 아끼다 읽다 결국 아끼다 읽다 버리다,5,Positive,2020-12-20,2020,12,Winter,89
살까말까 수차례 고민하다가 얼마전 매장갈일있어 간김에 바로드림으로 데려왔어요 오자마자 그냥 한방에 읽어버렸어요 시험끝나면 읽겠다고 두딸이 기다리는중입니다,까맣다 차례 고민 얼마 매장 갈다 이다 간김 바로 드림 데려오다 자마자 그냥 읽다 버리다 시험 끝나다 읽다 기다리다 이다,5,Positive,2020-12-18,2020,12,Winter,85
상상력의 끝판왕이네요 정말 재미있게 잘 읽었어요,상상력 끝판 정말 재미있다 자다 읽다,5,Positive,2020-12-17,2020,12,Winter,26
마음 따뜻해지고 위로되는 책이예요 꿈에대해서 다시한번 감사하게 생각하게 되었어요,마음 따뜻하다 위로 되다 대해 다시 한번 감사하다 생각 되어다,5,Positive,2020-12-13,2020,12,Winter,44
