rating,date,content
5,2021-11-11,"흥미롭게,잼있게 잘 읽었습니다"
5,2021-11-09,5학년 기대이상으로 잘읽고 용돈으로  2권 사달라합니다. 2권 주문완료 ^^
5,2021-11-09,6학년 아들이 재미있어하면 2권다 사달라고 조르네요!!
5,2021-11-09,아이를위해  주문했어요
5,2021-11-09,재밌게 읽었다
5,2021-11-07,아이가 좋아해요
5,2021-11-07,재미있게 읽은 책입니다.
5,2021-11-02,좋아요 선물하기 좋은 책이네요
5,2021-10-31,어른도 읽는 동화
5,2021-10-31,마음을 움ㅈㄱ이는 책
5,2021-10-27,재밌어요! 추천합니다
5,2021-10-20,잘 읽을게요
5,2021-10-19,도움이 됩니다.
